什麼是詞根	詞根是構詞的基本詞素，它與詞綴相對，並帶有主要的詞彙信息。	
3. anim [L]=	life 生命<br>anim 是常用詞animal 的詞根，源於拉丁名詞anima，含有mind（思想），spirit（精神），<br>soul（靈魂），life（生存）等與生命現象有關的概念，可以看成英語基本詞life（生命）的對<br>等詞。<br>animal [anim=life 生命；-al n.=thing characterized by 有……特徵的東西→「thing characterized<br>by having life 有生命的東西」→] n. １ any creature 動物：Is it an animal, vegetable, or mineral?<br>它是動物，植物，還是礦物？２ any creature other than man 除人以外的任何動物：the animals<br>in the zoo 動物園裡的動物<br>▽animalism [animal;-ism n.] n.動物性；獸慾<br>animalize [animal;-ize v.] v.使動物化<br>animate [anim=life 生命；-ate a.=having 有……的→「having life or spirits 有生命的，有精神<br>的」→]Ⅰa. １ living 有生命的：animate objects 生物２ full of life or spirits 生氣勃勃的：<br>animate youth 朝氣蓬勃的年青人→Ⅱ v. give life to, or make alive 使活躍：His jokes an-imated<br>the conversation.他的笑話使交談活躍起來。<br>▽animation [animat(e) v;-ion n.] n.活躍；生氣<br>reanimate [re-;animate v.] v.使復活；激勵<br>animosity [anim=life, spirit 生命，精神；-osity（-ous+-ity）n.=special state or quality 表特殊狀<br>態或性質→ 「 special spirit 特殊的精神」 → 「 strong feeling 強烈的感情」 → ] n. strong<br>dislike;hatred 敵意；仇恨：animosities between classes 階級仇恨<br>magnanimity [magn=great 大；anim=spirit 精神；-ity n.=the quality 表性質→「the greatness of<br>spirit or mind 精神上的大度」→] n. the spirit of being unusually generous, or generosity 寬宏大<br>量：He showed his magnanimity in forgiving you.他原諒了你，可見其寬宏大量。<br>▽magnanimous [magn;anim;-ous a.] a.寬宏大量的<br>equanimity [equ=even 平衡的；anim=spirit 精神；-ity n.=the quality 表性質→「the spirit with an<br>even quality 平穩的精神品質」→] n. calmness or steadiness of mind 沉著；鎮定：He faced the<br>disaster with equanimity.面對災難，他泰然若定。<br>▽equanimous [equ;anim;-ous a.] a.沉著的；鎮定的<br>longanimity [long（來自形容詞longus）=long 長久的；anim=spirit 精神；-ity n.=the quality 表<br>性質→ 「 the spirit with the quality of enduring long 能長久忍耐的精神素質」 → ] n.<br>endurance;forbearance 忍耐性；堅韌性：He is remarkable for his longanimity in struggle.他在<br>鬥爭中以堅韌著稱。<br>▽longanimous [long;anim;-ous a.] a.堅韌的；忍耐的<br>unanimous [un=one 一；anim=spirit, mind 精神，思想；-ous a.=having 有……的→] a. having one<br>mind or sharing the same view 思想一致的；觀點統一的：The conference was unanimous in<br>support of the decision.會議一致擁護這項決議。<br>▽unanimity [un;anim;-ity n.] n.全體一致；無異議	
2. am, amat [L]=	to love 愛<br>常用詞amiable 和amateur 分別來自同源異形根am 和amat。am 是拉丁動詞amare 的不定式詞干；amat 是這個動詞的動名詞詞干，意思都相當於to love（愛）。<br><br><br>amiable [am=to love 愛；-i-；-able a.=capable of 可……的→「capable of being loved 可愛的」→] a. lovable, or kindly 可愛的；和藹的：an amiable old lady 可親的老太太<br><br><br>amateur [amat=to love; -eur (-er) n.=person 人→「persaon who does something for loving it(rather than for money)因愛好（不是為金錢）從事某項活動者」→] n. person who practices an&nbsp;art, sport or science for his own pleasure（藝術、體育、科學等）業餘愛好者：radio amateur<br>業餘無線電愛好者<br><br>▽amateurism [amateur;-ism n.] n.業餘活動<br><br><br>amateurish [amateur n.業餘愛者；-ish a.=like 像…的→「like an amateur（rather than a&nbsp;professional hand）像業餘的，不內行的」→] a. unskillful 不老練的，外行的：He is still amateurish&nbsp;in playing golf.他打高爾夫球還不老練。<br><br>▽amateurishness [amateurish;-ness n.] n.外行<br><br><br>amicable [amic（來自am 的同根名詞amicus）=person one loves, or friend 親愛者，朋友；<br>-able a.=able to be 能當……的→「able to be one's friend 能做朋友的」→] a. in a friendly spirit,<br>or peaceable 友好的；和睦的：amicable settlement 和解<br><br>▽amicability [amicab(le);-ility n.] n.友好；和睦<br><br><br>amour [am=to love 愛；-our n.=the state or result 表狀態或結果→「loving or the result of loving<br>戀愛或戀愛的結果）」→] n.１ love 戀愛２ love affair 桃色事件，偷情<br><br>▽amorous [amo(u)r;-ous a.] a.戀愛的；多情的<div><br><br>enamour [en-v.=to cause to be 使；amour n.=love 戀愛→「to cause to be in love 使戀愛」→] v.inflame with love 使迷戀：Her beauty enam-oured the prince.王子被她的美貌迷住了。<br><br><br>amatory [amat=to love 愛；-ory a.=related to 與……有關的→] a. related to loving;expressing<br>love 戀愛的；愛慕的：amatory poems 情詩</div>	
1. ag, act [L]=	to do, to drive 做，驅使<br>詞根ag 來自拉丁動詞agere 的詞幹部分，意思相當於英語的to do（做）或to drive（驅使）。<br>act 是個英語核心單詞，其實它的前身act 是ag 的同源異形詞根，來自agere 的動名詞形式<br>actum 的詞幹部分，基本含義也是to do 或to drive。下面先分析幾個由ag 構成的常見派生<br>詞。<br><br><br>agent [ag=to do 做；-ent n.=person 人→「person who does 辦事者」→] n. person who works for<br>another person or organization 代理人：a sales agent 代售商<br><br>▽agential [agent;-ial a.] a.代理人的；起媒介作用的<br><br><br>agency [ag=to do 做；-ency n.=the quality or state of 表性質或狀態→「the abiliy or place of<br>doing business 辦事的能力或場所」→] n.１power or force which causes a result 力量；作用：<br>human agency 人力２ the office of an agent;service organization 代理處；機構：travel agency<br>旅行社<br><br><br>agenda [ag=to do 做；-enda（-a 表複數）n.=things 事情→「things to be done 要辦的事項」<br>→] n. list of things to be discussed or decided upon 議事日程：the most important item on the<br>agenda 議事日程的首項<br><br><br>agile [ag=to do 做；-ile a.=able 能……的→「able to do 能幹的」→] a. able to do or move quickly<br>or easily 敏捷的；靈活的：as agile as a monkey 像猴子般靈活<br><br>▽agility [agil(e);-ity] n.敏捷；靈活<br><br><br>agitate [ag=to drive or keep moving 驅使，使運動；-itate（-ate）v.=make or cause 使……→「cause<br>to keep moving steadily 引起不斷的動盪」→] v. disturb 鼓動：The audience were agitated by his<br>speech 聽眾被他的演說所鼓動。<br><br>▽agitation [agitat(e);-ion n.] n.鼓動；激動不安<br>agitator [agitat(e);-or n.] n.鼓動者<br><br><br>以下介紹的是幾個常用act 的同根詞。<br><br><br>act [act=to do 做→「to do what is required 做要求的事」→] v. １ do something 行動：to act<br>at once 立刻行動２ function 起作用：The brakes wouldn't act.剎車失靈。３ take part in a play<br>or film 扮演：Who is acting Hamlet? 誰演哈姆雷特？<br><br>▽actor [act;-or n.] n.男演員；行動者<br>actress [act (o)r;-ess n.] n.女演員<br>re-act [re-;act v.] v.重做，再做；重演，再演<br>overact [over-;act v.] v.演得過於誇張<br><br><br>action [act=to do 做；-ion n.=the process or result 表過程或結果→] n.１ process of doing, or<br>deed 行動，活動：Actions speak louder than words.行動比語言更有說服力。２ result of doing,<br>or effect 作用：the action of an acid on metal 酸對金屬的作用３ charge 訴訟：to bring an<br>action against someone 起訴某人<br><br>▽actionable [action;-able a.] a.可控訴的<br>active [act=to do 做；-ive a.=able 會……的→] a. able to do 活躍的，積極的：Although he is over<br>70, he is still active.他雖然年過70，但依然很活躍。<br><br>▽activate [activ(e);-ate v.] v.使活動<br>activism [activ(e);-ism n.] n. [哲] 能動主義；積極，活躍<br>activist [activ(e);-ist n.] n.活動分子，積極分子<br>activity [activ(e);-ity n.] n.能動性；活躍；[復] 活動<br><br><br>actual [act=to do 做；-u-;-al a.=the act or fact 表行為或事實→] a. existing in fact;real 實際的；<br>現實的：the actual amount of money 實際金額<br><br>▽actualist [actual;-ist n.] n.現實主義者<br>actuality [actual;-ity n.] n.事實，現存情況；現實性<br>actualize [actual;-ize v.] v.實行，使現實化<br><br><br>actuate [act=to do 做；-u-;-ate v.=to make or cause 使……→] v. cause to do 驅動，激勵：What<br>motives actuated her? 什麼動機驅使她這樣做的？<br><br>▽actuation [actuat(e);-ion n.] n.驅動，激勵；開動<br><br><br>exact [ex-=out 出；act=to drive 驅使→「to drive out;driven out 逼出來（的）」→] I v. demand or<br>obtain by force 強求，索取：He exacted obedience from his students.他強要學生服從他。→<br>Ⅱ a. correct and without mistake 準確的，精確的：to be exact in conduct 行為一絲不苟<br><br>▽exacting [exact v.;-ing a.] a.苛求的，嚴厲的；強索的<br>exaction [exact v.;-ion n. ] a.強索；勒索；搾取<br>exactitude [exact a.;-itude n.] n.精確（性）；嚴格，嚴謹<br><br><br>react [re-=back 回返；act=to do 做→] v.１ do or act in reply 反應：She was slow to react.她反<br>應遲鈍。２ do against 反動，反作用：to react against oppression 反抗壓迫<br><br>▽reaction [react;-ion n.] n.反應；反作用；反動<br>reactor [react;-or n.] n.引起反應的人或物；[原] 反應堆<br>reactive [react;-ive a.] a.反應的；反動的<br><br><br>interact [inter-=between 在……之間；act=to do 做→「to do between two things 在兩者之間互<br>動」→] v. have an effect on each other 互相作用，互相影響：All things are inter-related and<br>interacted on each other.一切事物都是互相聯繫又互相影響的。<br><br>▽interaction [interact;-ion n.] n.相互作用；相互<br>interactant [interact;-ant n.] n. [化] 反應物<br>interactive [interact;-ive a.] a.互相作用的；[計] 交互的<br><br><br>transact [trans-=across or through 穿過；act=to drive 驅使→「to drive through 使通過」→] v.<br>carry on;manage 執行，辦理：He transacted some businesss at bank.他在銀行處理了一些事務。<br><br>▽transaction [transact;-ion n.] n.辦理，處理；交易，業務<br>transactor [transact;-or n.] n.辦事人，處理者	
各種語源的單詞在英語詞彙總量中占的百分比是	日耳曼語源（即本族語源） 33％；拉丁與希臘語源（即古典語源） 56％；凱爾特語源2％；混合語源3％；東方、非洲、美洲等語源6％	
有些後綴本身並不重讀，卻會使派生詞的重音發生有規則的轉移。最有代表性的是（），它們總是使單詞重音落在自己的前一個音節上	-ian，-ic，-ion 和-ity	
4. ann, enn [L]=	year 年<br>ann 來自拉丁名詞annus，意思為year（年）；enn 是ann 在添加前綴時產生的音變異體。ann<br>在構詞中常帶有連接字母-u-或-i-，也可以把annu 和anni 作為詞根異體看待。<br><br><br>annual [annu=year 年；-al a.=of……的→] I a. of one year;yearly 一年的；每年的：annual report<br>年度報告→Ⅱn. book or pamphlet issued once a year 年鑒；年刊：the annuals of the Historical<br>Society 歷史協會的年鑒<br><br><br>anniversary [anni=year 年；vers=to turn 轉；-ary n.=thing 物→「the date connected with the<br>turning of a year 與時間周轉一年相關的日子」→] n. the date of a year on which something<br>happened 週年紀念日：the 400th anniversary of Shakespeare's birth 莎士比亞誕生四百週年紀<br>念日<br><br><br>annals [ann=year 年；-al n.=thing 物；-s 表複數→「many things of a year 一年中的事情」→] n.<br>yearly records;historical records 編年史；歷史記載：the war annals of the Red Army 紅軍戰史<br><br>▽annalist [annal(s);-ist n.] n.編年史作者<br><br><br>perennial [per-=through 通；enni=year 年；-al a.→「through a year 通年的」→] a.１lasting through<br>the year 常年不斷的：perennial snow and ice 終年不化的冰雪２ overlasting 長久的：perennial<br>efforts 持久努力<br><br>▽perenniality [perennial;-ity n.] n.常年性；長久性<br><br><br>annuity [annu=year 年；-ity n.=thing connected with 表相關事物→「money connected with one<br>year 按一年計算的錢」→] n. yearly allowance or income 年金；年收入：life annuity 終身年金<br><br>▽annuitant [annuit(y);-ant n.] n.領受年金者<br><br><br>superannuate [super-=over 超；annu=year 年→age 年齡；-ate v.=to cause to be 使成為→「to<br>cause to be over-aged 使成為超齡者」→] v. make to retire when one is over a certain age 因超<br>過年齡而令退休：He was superannuated as soon as he reached the age of sixty.他剛滿六十歲，<br>就被指令退休了。<br><br><br>annu 和enni 還能與表示數目的前綴構成表示以「年」為單位的時間的單詞。以下是常見的<br>幾個。<br><br><br>semiannual [semi-=half 半；annu=year 年；-al a.=of……的→] a. of a half year 半年一度的：<br>semiannual meeting 半年一度的會議<br>biannual [bi-=two, twice 二，兩次；annu=year 年；-al a.=of……的→a. of twice a year 每年兩<br>度的：biannual examination 每年兩次的考試<br>biennial [bi-=two 二；enni=year 年；-al a.=of……的→「of two years 二年的」→] a. lasting two<br>years 持續兩年的：a biennial research course 兩年的研究課程<br>biennium [bi-=two 二；enni=year 年；-um n.=thing 物→「the time of two years 兩年的時間」<br>→] n. period of two years 兩年	
5. anthrop [GK]=	man 人類<br>anthrop 是本書介紹的第一個來自希臘語的詞根，它的詞源是希臘名詞anthropos，意思為<br>man 或human kind（人類）。在構詞中，anthrop 後面常跟著連接字母-o-，也可以把anthropo<br>看作異形詞根。<br><br><br>anthropology [anthropo=man 人類；-logy n.=branch of science 一門科學→「the science about<br>man 研究人類的科學」 → ] n. the science dealing with the physical, social, and cultural<br>development of man 人類學<br><br>▽anthropologist [anthropolog(y);-ist n.] n.人類學者<br><br><br>philanthropist [phil=to love 愛；anthrop=man 人類；-ist n.=person 人→「person who loves man<br>愛人類者」→] n. person who loves his fellow men, especially, who is engaged in helping the poor<br>men 博愛主義者；慈善家<br><br>▽philanthropy [phil;anthrop;-y n.] n.慈善；仁愛<br>philanthropic [phil;anthrop;-ic a.] a.博愛的<br><br><br>misanthropist [mis=to hate 恨；anthrop=man 人類；-ist n.=person 人→「person who hates his<br>fellow men 厭惡人類者」→] n. person who hates everybody and avoids being in the company of<br>others 離群索居者；憤世嫉俗者：A misanthropist can never become a philanthropist.憤世嫉俗<br>者是成不了慈善家的。<br><br>▽misanthropy [mis;anthrop;-y n.] n.厭世<br>misanthropic [mis;anthrop;-ic a.] a.厭世的；厭世者的<br><br><br>anthropoid [anthrop=man 人類；-oid a.=like 像……→] a. like a man;in the form of a man 類人<br>的；有人形的：anthropoid ape 類人猿<br><br><br>anthropography [anthropo=man 人類；-graphy n.=the study……學→「the study about man 有<br>關人類情況的學說」→] n. the study of the geographical distribution of human races 人種地理分<br>布學<br><br><br>anthropogenesis [anthropo=man 人類；genesis=the origin 起源→] n. the study of man's origin<br>and development 人類起源和發展學<br><br><br>anthropotomy [anthropo=man 人類；tomy=anatomy 解剖學→] n. human anatomy 人體解剖學	
6. arch [GK]=	rule 統治<br>在政治術語anarchy, monarch, monarchy 和oligarch 中，有個常用詞根arch。它來自希臘名詞<br>arkhos，意為rule（統治）。在派生詞中arch 常作ruler（統治者）或government（政體）解。<br><br>anarchy [an-(a-)=no, without 無；arch=rule 治理；-y n.=the state 表狀態→「the state without rule<br>or government 缺乏治理，沒有政府」→] n. absence of government or control 無秩序；無政府<br>狀態：Any form of government is better than anarchy. 任何形式的政體都比無政府狀態好。<br><br>▽anarchic [anarch(y);-ic a.] a.無政府主義的<br>anarchism [anarch(y);-ism a.] n.無政府主義<br>anarchist [anarch(y);-ist n.] n.無政府主義者<br><br><br>monarch [mon=one, alone 單一；arch=ruler 統治者→「only one ruler, or one who rules a country<br>alone 單獨治理國家者」→] n. king of sovereign 國王，君主：The monarch was ousted.國王被<br>趕下台了。<br><br>▽monarchal [monarch;-al a.] a.國王的，君主的<br><br><br>monarchy [mon-=one, alone 單一；arch=ruler 統治者；-y n.=the state 表狀態→「the state or<br>government of only one ruler 單人統治的政體」→] n. government ruled by a monarch 君主政<br>體；君主國：China was once a monarchy.中國曾經是個君主國。<br><br>▽monarchic [monarch(y);-ic a.] a.君主制的；君主國的<br>monarchism [monarch(y);-ism n.] n.君主制度；君主主義<br><br><br>oligarch [olig-=few 少，寡；arch=ruler 統治者→「one of a few rulers 少數統治者之一」→] n.<br>member of an oligarchy 寡頭統治成員：finan-cial oligarch 金融寡頭<br><br><br>oligarchy [olig-=few 少，寡；arch=ruler 統治者；-y n.=the state 表狀態→「the state or government<br>by a few rulers 由少數人統治的政府」→] n. rule or government by a few, often for their own<br>interests 寡頭政治；寡頭統治的政府：Ancient Sparta was really an oligarchy.古斯巴達實際上<br>是個寡頭統治的國家。<br><br>▽oligarchic [oligarch(y);-ic a.] a.寡頭政治的<br><br><br>polyarchy [poly-=many 多；arch=ruler 統治者；-y n.=the state 表狀態→「the state or government<br>by many rulers 多人的統治」→] n. rule or government by many heads 多頭政治<br><br><br>matriarch [matri=mother 母；arch=ruler 統治者→「a ruler who is a mother 母權統治者」→] n.<br>woman who rules a large family or tribe 女家長；女族長：This tribe is still led by matriarchs.該<br>部落依然以女族長為首。<br><br>▽matriarchal [matriarch;-al a.] a.女家長的；女族長的<br><br><br>matriarchy [matri=mother 母；arch=rule 統治；-y n.=the state 表狀態→「the state of rule by<br>mothers 母權統治」→] n. social group or system ruled only by women 母權制；母系氏族制：<br>Many ancient societies were matriarchies.許多遠古社會是母權制社會。<br><br><br>archives [arch=ruler 統治者；-ive n.=thing 物；-s 表複數→「documents belonging to rulers 屬<br>於統治者的文件」→] n.１ public records 檔案２ place in which public records are stored 檔案<br>室（館）：the central archives of the state 國家檔案館<br><br>▽archivist [archiv(es);-ist n.] n.檔案保管員<br>archival [archiv(es);-al a.] a.關於檔案的；在檔案中的<br><br><br>arch 還可以當前綴使用。arch-意思是chief（主要的）。<br><br><br>archenemy [arch-=chief 主要的；enemy n.敵人→] n. chief enemy 首敵；大敵<br><br><br>architect [arch-=thief 首要的；-i-;tect=builder 建築者→「chief builder 建築者的首領」→] n.<br>designer of buildings 建築設計師<br><br>▽architecture [architect;-ure n.] n.建築學<br>architectonic [architect;-onic(-ic) a.] a.關於建築的	
7. aud, audit [L]=	to hear 聽<br>在常用詞audience 和auditorium 中，有一對同源異形詞根aud 和audit，其詞源拉丁動詞audire<br>的意思是to hear（聽）。aud 是不定式詞干，audit 是動名詞詞干。<br><br><br>audience [aud=to hear 聽；-i-;-ence n.=the act or state 表行為或狀態→「the act or state of<br>hearing 聽的行為或狀態」→] n.１ interview or con-ference 會見；接見：The foreign guests had<br>an audience with the may-or.外賓拜會了市長。２ the people assembled to hear 聽眾：There will<br>be a large audience today.今天會有很多聽眾來。<br><br><br>auditorium [audit=to hear 聽；-orium n.=place 場所→「place for hearing 聽的場所」→] n.１<br>building or room for public meetings 禮堂；演講廳２ the space allocated to the hearers 聽眾席：<br>The author was found sitting in the auditorium.有人發現作者正坐在聽眾席中。<br><br><br>audible [aud=to hear 聽；-ible a.=capable of being 能被……的→] a. capable of being heard 聽得<br>見的：Their whispers are hardly audible.他們竊竊私語，別人聽不見。<br><br>▽inaudible [in-;audible a.] a.聽不見的<br><br><br>audit [audit=to hear 聽→「to hear a lecture or a report 聽課；聽取匯報」→] v. １ attend class<br>in a university without intending to receive a grade（在大學）旁聽：to audit a history course at<br>college 旁聽大學歷史課程２examine（financial accounts）審查（賬目）：The yearly accounts will<br>be audited by a special committee.年度賬目將由特別委員會審查。<br><br>▽auditor [audit;-or n.] n.（大學）旁聽生；查賬員<br><br><br>audition [audit=to hear 聽；-ion n.=the act 表行為→] n. １ hearing 聽２ trial hearing（to an<br>actor or singer）（對演員等）試聽：to give an audition to a singer 聽歌手試唱決定是否錄用<br><br><br>audile [aud=to hear 聽；-ile a.=pertaining to……的→] a. pertaining（關於，有關）to hearing or<br>the sense of hearing 聽的；聽覺的：audile power 聽的功能<br><br><br>auditory [audit=to hear 聽； -ory a.=relating to 與… … 有關的→ ] a. relating to the sense of<br>hearing 聽覺的：auditory nerves 聽覺神經<br><br><br>audiology [audi=to hear 聽；-o-;-logy n.=branch of science 一門科學→] n. the science dealing<br>with the sense of hearing 聽覺學<br><br>▽audiologist [audiolog(y);-ist n.] n.聽覺學學者<br><br><br>audio [形容詞性的合詞成分：aud=to hear 聽；-io→「of hearing 與聽有關的」→] I a. pertaining<br>to sound or sound waves 聲音的；聲波的：audio frequency 音頻→Ⅱ n. broadcast or recorded<br>sound 播音；錄音：My television set has a good picture by weak audio.我的電視機圖像清晰，<br>但是收音不好。	
8. aug, auct, auth [L]=	to increase 增加<br>讀者可能想不到August（八月），auction（拍賣）和author（作者）居然是同根詞吧！它們<br>分別來自拉丁動詞aguere、它的過去分詞auctus 及其變體auth，其基本意思都是to increase<br>（增加）或to cause to grow（使產生，使增大）。<br><br><br>august [aug=to increase 使增大；-ust a.=the most 最→「to increase to the most 增到最大」→<br>「the greatest 最偉大的」→]Ⅰa. majestic 威嚴的：august palaces 威嚴的王宮→Ⅱ（大寫<br>August）n.１ 奧古斯特（即古羅馬Augustus 凱撒大帝，他自認為是最偉大的帝王）２ 八月<br>（奧古斯特大帝以自己的名字命名八月份）<br><br><br>augment [aug=to increase 增加；-ment v.→] v.１ make greater or enlarge 增加，擴大：to<br>augment the power 擴大權力２ become greater 增加，增大：The sound of traffic augments<br>during the rush hour.高峰時間交通噪音會增大。<br><br>▽augmentative [augment;-ative a.] a.有擴大（增加）作用的<br><br><br>auction [auct=to cause to grow 使增加；-ion n.=the act 表行為→「the act of causing the price to<br>grow 使價格上升的行為」→]Ⅰn. sale in which goods are sold to the person offering the most<br>money 拍賣：to sell the old furniture by auction 拍賣舊傢俱→Ⅱv. sell by auction 拍賣：When<br>the artist died, his family auctioned his paintings.藝術家去世後，家人把他的畫拍賣了。<br><br>▽auctioneer [auction v.-eer n.] n.拍賣商<br><br><br>author [auth（auct）=to cause to grow 使成長；-or n.=person 人→「person who causes anything<br>to grow 使事物產生者」→] n.１ person who begins or creates 發起人，創始者：the author of<br>the new plan 新計劃的倡議者２ writer 著作者，作家：His favorite author is Dickens.他最喜歡<br>的作家是狄更斯。<br><br>▽authorless [author;-less a.] a.作者不明的；隱名的<br><br><br>auctorial [auctor=author 作者；-i-;-al a.=of……的→] a. of or having to do with an author 作者的：<br>auctorial comments 作者說明<br><br><br>authority [author n. 創始者；-ity n.=the quality 表特性→「the quality of an author 創始者的特<br>性」→] n.１ the power or right to control or make decisions 權力，權威：Rulers have no<br>authority from God to do mischief.上帝並沒有給統治者製造禍害的權力。２ person(s) having<br>authority 當權者：higher authority 上級領導<br><br><br>authorize [author n.創始者（→power 權力）；-ize v.=to cause to have 使有→「to cause to have<br>power 使有權力」→] v. give power to 授權：The president authorized his ambassador to sign the<br>treaty.總統授權大使簽訂該條約。<br><br>▽authorization [authoriz(e);-ation n.] n.授權，委託	
9. bi, bio [GK]=	life 生命，生物<br>biology（生物學）中的bi 是個希臘詞根，它來自希臘名詞bios，意思為life（生命，生物）。<br>在構詞中，bi 常通過連接字母-o-與其他詞素結合，所以，也可以把bio 看作bi 的異體。<br><br><br>biology [bio=life 生命，生物；-logy n.=branch of science 一門科學→] n. the science of life in all<br>生物學：Zoology and botany are main divisions of biology.動物學和植物學是生物學的兩門主要<br>分科。<br><br>▽biologist [biolog(y);-ist n.] n.生物學者<br>biological [biolog(y);-ical a.] a.生物學的<br><br><br>biography [bio=life 生命；-graphy n.=writing 著作→「writing about one's life 關於一個人生平<br>的著作」→] n. written account about a person's life 傳記：a biography of Darwin 達爾文傳記<br><br>▽biographer [biograph (y);-er n.] n.傳記作者<br>biographical [biograph(y);-ical a.] a.傳記的；傳記體的<br>biographize [biograph (y);-ize v.] v.為……作傳記<br><br><br>biocide [bio=life 生物→living beings 蟲；-cide n.=that which kills 殺……物→] n. substance which<br>kills harmful living beings 殺蟲劑<br><br><br>antibiotic [anti-=against 抗；bi=life 生命，生物；-otic a.=having the quality 有……性能的→<br>「against the growing of a certain life 能抵制某種生物生長的」→] a. opposing the living of<br>disease carrying bacteri-a 抗病菌的；抗生的：antibiotic substance 抗生素<br><br><br>microbial [micro-=tiny 微小的；bi=life 生物；-al a.=of ……的→「of a tiny life 微小生物的」→]<br>a. of microscopic organisms 微生物的：the microbial enemy of man 人類的微生物敵人<br>bio 也可以作為術語前綴，與其他充當術語的單詞結合，構成新的術語。bio-的意思為「生<br>物」或「生物的」。<br><br><br>biochemistry [bio-=life 生物；chemistry 化學n.→] n. the branch of chem-istry relating to life or<br>living organisms 生物化學<br><br>▽biochemist [bio-;chem.;-ist n.] n.生物化學家<br><br><br>biophysics [bio-=life 生物；physics n.物理學→] n. the branch of physics relating to life or living<br>organisms 生物物理學<br><br>▽biophysicist [biophysic(s);-ist n.] n.生物物理學家	
