finale 	[sound:youdao-eb98c73e-add0b6bb-d50e4114-f7daf212-9852bdba.mp3]	[fɪ'nɑːlɪ; -leɪ]	n. 結局；終曲；最後一場；最後樂章；尾聲 n. (Finale)人名；(英)菲納利；(意、西)菲納萊	The Orioles rebounded to win in 10 innings on Tuesday night before coasting in the finale.			
mahogany 	[sound:youdao-30b823ec-5b3f03e3-305ba453-e4612146-3b01cc72.mp3]	[mə'hɒgənɪ]	n. 桃花心木，紅木；紅褐色	Kutcher and Kutcher utilized Mahogany, Brazilian Cherry and recycled Redwood woods throughout the house.			
publicize 	[sound:youdao-236be079-e5e7f9d7-6de98c49-7d59cf74-2242d18b.mp3]	['pʌblɪsaɪz]	vt. 宣傳；公佈	Other Orchard software allows record labels to publicize artist news, tour photos and other information.			
drizzle 	[sound:youdao-1f361f63-b02e118d-f66bcc14-2614f736-afc79901.mp3]	['drɪz(ə)l]	vi. 下毛毛雨 vt. 下毛毛雨 n. 細雨，毛毛雨	The downpour is now a drizzle, and the clouds have moved on to swallow other mountains.			
wallpaper 	[sound:youdao-9ba8719d-98e46bf5-855886b8-05183ba6-561b3801.mp3]	['wɔːlpeɪpə]	n. [建] 壁紙，牆紙 vi. 貼牆紙，貼壁紙 vt. 貼牆紙於，貼壁紙於	Hanson likes to think its bricks are external wallpaper, rather than chunks of clay.			
fatality 	[sound:youdao-75d5e7e7-acae4fdc-9cbb67f6-a3b73b40-81d38f6e.mp3]	[fə'talɪtɪ; feɪ-]	n. 死亡；宿命；致命性；不幸；災禍	The first confirmed fatality -- a woman around age 30 -- was reported around 7:30 a.m.			
burden 	[sound:youdao-c523fa50-cf427446-222f0298-3a2878a2-698c9b59.mp3]	['bɜːd(ə)n]	n. 負擔；責任；船的載貨量 vt. 使負擔；煩擾；裝貨於 n. (Burden)人名；(英)伯登	For this reason, the middle class will bear much of the burden of rising taxes.			
obscene 	[sound:youdao-835eec89-8a02b85b-7646fb21-374f96ea-59188614.mp3]	[əb'siːn]	adj. 淫穢的；猥褻的；可憎的	Mr. Diamond's daughter tweeted an obscene message directed at British politicians who had criticized her father.			
visibly 	[sound:youdao-de97b66e-94e263ec-4a8d0494-127352cd-40d632b7.mp3]	['vɪzəbli]	adv. 明顯地；顯然；看得見地	The BBC's Monica Chadha who was in court says Patil was visibly agitated, but did not break down.			
oxide 	[sound:youdao-68d68255-d3e67c1e-ed70b898-408bd315-3b8011c4.mp3]	['ɒksaɪd]	n. [化學] 氧化物	The traditional method for making zinc oxide is to grind it into crystals about 200 nanometers wide.			
bulge 	[sound:youdao-c59481fc-f28a3702-d6f42882-96db5740-49254994.mp3]	[bʌldʒ]	n. 脹；膨脹；凸出部分 vt. 使膨脹；使凸起 vi. 膨脹；凸出	For a few, an opportunity came during the replacements crisis at the time of the Bulge.			
coercion 	[sound:youdao-f927abc9-e8b30d76-4310022a-ba2d2aa2-61249730.mp3]	[kəʊ'ɜːʃ(ə)n]	n. 強制；強迫；高壓政治；威壓	Card check is an egregious assault on basic democratic rights and an invitation to coercion.			
locale 	[sound:youdao-841e3ef1-a0041713-4cdfaedb-c6430d8f-d7cfa0b3.mp3]	[ləʊ'kɑːl]	n. 場所，現場	Despite, or perhaps because of its far-flung locale, Vanimo is the stuff of surf legend.			
reimbursement 	[sound:youdao-158667de-1e8a254f-675289fc-8bc2e1de-d7d303e5.mp3]	[,ri:ɪm'bɜ:smənt]	n. 退還，償還；賠償	But Congress started cutting the reimbursement levels and several health plans dropped out of the program.			
diocese 	[sound:youdao-1999c3cb-f88b0606-0926670d-24dbcc4f-24856fd8.mp3]	['daɪəsɪs]	n. 主教教區	The Supreme Court has now allowed the diocese to appeal in order to blame another Catholic diocese.			
tracking 	[sound:youdao-fdeb1be1-3b09d48d-f8be0329-c067e56b-72552766.mp3]	['trakɪŋ]	n. 追蹤，跟蹤 v. 跟蹤（track的ing形式）	Better tracking data would be required to maximize the effectiveness of debris removal prizes.			
ventilation 	[sound:youdao-9dac248f-f13c916d-475d1b54-38b64522-6de0473f.mp3]	[,ventɪ'leɪʃ(ə)n]	n. 通風設備；空氣流通	He also plans to transform the 28m-long ventilation shaft into a subterranean climbing wall.			
ensuing 	[sound:youdao-2db1eafa-d2063e24-81b193e3-dfaa814c-8f3c3d05.mp3]	[in'sju:]	adj. 接著發生的 v. 跟著發生（ensue的ing形式）	The spring brought rising subprime delinquency rates and the ensuing failures of subprime lenders.			
subordinate 	[sound:youdao-484dc36f-79281b51-de54ce01-8dbae662-b2f3b6d2.mp3]	[sə'bɔːdɪnət]	n. 下屬，下級；部屬，屬下 adj. 從屬的；次要的 vt. 使……居下位；使……服從	Weliky says this workplace dynamic can be the most damaging because it infantilizes the female subordinate.			
manure 	[sound:youdao-48680fa4-87f43881-9416329d-cc29a274-7961f94d.mp3]	[mə'njʊə]	vt. 施肥於；耕種 n. 肥料；糞肥	The company captures the biogas from cow manure and converts it into usable energy.			
bidding 	[sound:youdao-859b27e6-cdd46616-81dd6e9b-2da0d389-a4b6814d.mp3]	['bɪdɪŋ]	n. 投標；出價；命令	Selling near-complete systems may give ITT an advantage over individual equipment makers when bidding for jobs.			
tenet 	[sound:youdao-fccb5154-3109f7d8-c99dc88b-26bd2414-ba378c96.mp3]	['tenɪt; 'tiːnet]	n. 原則；信條；教義 n. (Tenet)人名；(法)特內；(英)特尼特	Tenet 5: The legal consequences related to making negative statements about financial performance inhibits critical commentary.			
merit 	[sound:youdao-c7a95cbe-c70503d8-db8cf4bc-95568ee3-d0d54609.mp3]	['merɪt]	n. 優點，價值；功績；功過 vt. 值得 vi. 應受報答	There was certainly nothing in Europe or the Middle East that would merit an 13, 000km round-trip.			
pessimistic 	[sound:youdao-d09af59b-b1ef3c38-a8dfdc24-4b3bbe57-f17c94b7.mp3]	[,pesɪ'mɪstɪk]	adj. 悲觀的，厭世的；悲觀主義的	By the same token, during the panic and bust phase, people become overly pessimistic.			
same 	[sound:youdao-add7fb21-4f109ffb-2ff903c2-984d246b-cf9f6ab4.mp3]	[seɪm]	adj. 相同的；同一的；上述的（通常與the連用）；無變化的 pron. 同樣的事物或人（通常與the連用） adv. 同樣地（通常與the連用） n. (Same)人名；(意)薩梅	The broad message is the same, even if it is a slightly larger contraction than expected.			
turbulent 	[sound:youdao-05d55190-cc10191e-2d708930-38369637-3c31b395.mp3]	['tɜːbjʊl(ə)nt]	adj. 騷亂的，混亂的；狂暴的；吵鬧的；激流的，湍流的	Especially in these turbulent economic times, exploitation involving wills, trusts and estates is all too common.			
longitudinal 	[sound:youdao-cb9065f6-999c3a7c-e802e5fa-d3154d85-6d440966.mp3]	[,lɒn(d)ʒɪ'tjuːdɪn(ə)l; ,lɒŋgɪ-]	adj. 長度的，縱向的；經線的	Popkin and his team based their estimate on a 20-year longitudinal study that included more than 5, 100 participants.			
cynicism 	[sound:youdao-1be3463e-62ed3104-c7505dc9-b4cff224-2c90fe33.mp3]	['sɪnɪsɪz(ə)m]	n. 玩世不恭，憤世嫉俗；犬儒主義；冷嘲熱諷	There is a lot of cynicism around here and some of it is merited.			
ethnographic 	[sound:youdao-e7e90e62-5c749782-867f91fd-d27a8d01-2b5fbe2b.mp3]	[,eθnə'ɡrafɪk]	adj. 人種志的；民族志學的	Extensive anthropological and ethnographic research across India and in many countries around the world was completed.			
good-looking 	[sound:youdao-87f9ecae-0e5953ef-ce646877-6cceac29-8c5b84f5.mp3]	['ɡud'lukiŋ]	adj. 好看的；美貌的	The marketing idea, though, is universal: Capture the aspirations of potential customers with good-looking people.			
affirmation 	[sound:youdao-9bb29177-6252f82c-0c20eead-d75160e1-353d6bb6.mp3]	[afə'meɪʃ(ə)n]	n. 主張，肯定；斷言	It is sim- ply its association with notions of well-being that gives affirmation its current status.			
combustion 	[sound:youdao-7e774436-17b0760d-0492d2ed-2f84b52e-7bfaf8fb.mp3]	[kəm'bʌstʃ(ə)n]	n. 燃燒，氧化；騷動	GM's Chevrolet Volt, an electric car with a combustion engine range extender, could be another beneficiary.			
inviting 	[sound:youdao-80dbe4f8-de74497c-9985e6e2-2e06168c-2b442736.mp3]	[ɪn'vaɪtɪŋ]	adj. 誘人的；有魅力的 v. 邀請（invite的ing形式）	They set up a Facebook group and send out messages inviting everyone to come.			
rustic 	[sound:youdao-5dfb764e-904ab1ba-81c10e0a-f25a59d5-e96f558e.mp3]	['rʌstɪk]	adj. 鄉村的；純樸的；粗野的；手工粗糙的 n. 鄉下人；鄉巴佬	Estancia accommodations range from luxurious suites with private fireplaces to rustic rooms with hardwood floors.			
affiliate 	[sound:youdao-119e81c9-02bb17fa-d706d68a-c605a767-671cfa5f.mp3]	[ə'fɪlɪeɪt]	n. 聯號；隸屬的機構等 vt. 使附屬；接納；使緊密聯繫 vi. 參加，加入；發生聯繫	Prior to MSNBC, Banfield served as the evening news anchor for KDFW-TV, the FOX affiliate in Dallas.			
invader 	[sound:youdao-9164df18-1ab4850e-a85e2f08-d8a44b8a-6db454ba.mp3]	[ɪn'veɪdə(r)]	n. 侵略者；侵入物	The invader appears to have no characteristic other than the ability to reproduce rapidly.			
holistic 	[sound:youdao-0b3277d2-8b010321-4dabda59-6f83520a-fec4f2c0.mp3]	[həʊ'lɪstɪk; hɒ-]	adj. 整體的；全盤的	While the brand has outgrown its nursery surroundings, production remains as holistic as ever.			
light-year 	[sound:youdao-6f85f631-1a0b09ac-d1bcb1ff-eaeba55b-475b77cc.mp3]	['laitjə:]	n. 光年	Gould's estimate of a 15, 000-light-year distance to the new planet is an approximation, and he says he will need more data to refine the number.			
discrete 	[sound:youdao-a9034c11-37482fcf-34638434-c686b945-1740e634.mp3]	[dɪ'skriːt]	adj. 離散的，不連續的 n. 分立元件；獨立部件	Fifty years ago, Japanese electricity was generated by smaller, discrete coal- and oil-fired plants.			
straddle 	[sound:youdao-b602d600-fb4c000c-1863763e-86d280cf-edc55634.mp3]	['strad(ə)l]	vi. 跨坐；兩腿叉開坐 vt. 叉開(腿)；騎，跨；跨立於；跨越 n. 跨坐	So while we're looking at dividends, we're going to kind of straddle both fences here.			
mantle 	[sound:youdao-dd4b5f3d-9b53da5e-e33c133b-9952f9b2-ec20f01c.mp3]	['mant(ə)l]	n. 地幔；斗篷；覆蓋物 vi. 覆蓋；臉紅 vt. 覆蓋 n. (Mantle)人名；(英、意)曼特爾	Collins is letting it known that he is willing to take on that mantle.			
exterior 	[sound:youdao-3ad9a004-bb268fed-d70d93bc-75411bb9-86799671.mp3]	[ɪk'stɪərɪə; ek-]	adj. 外部的；表面的；外在的 n. 外部；表面；外型；外貌	Another icon of British Bombay, the Norman-Gothic exterior covers a magical selection of stalls.			
aggravate 	[sound:youdao-f4e836c2-bfa71f27-df47c1b5-3829cc2f-e14a8638.mp3]	['agrəveɪt]	vt. 加重；使惡化；激怒	From then on, some believe, demography will seriously aggravate Japan's other D-words—debt, deficits and deflation.			
Norwegian 	[sound:youdao-655962d6-0161b92b-867136a0-121d6ab5-d696759f.mp3]	[nɔ:'wi:dʒən]	adj. 挪威的；挪威語的；挪威人的 n. 挪威語；挪威人	Go long the British pound, the Norwegian krone or the Swedish krona, while shorting the euro.			
haul 	[sound:youdao-c650b3a4-302b51d9-605ac833-19614837-f0336768.mp3]	[hɔːl]	n. 拖，拉；用力拖拉；努力得到的結果；捕獲物；一網捕獲的魚量；拖運距離 vt. 拖運；拖拉 vi. 拖，拉；改變主意；改變方向 n. (Haul)人名；(德)豪爾	And Stuart Broad marked his call-up to the Test squad with a five-wicket haul.			
insanity 	[sound:youdao-8dbe3697-370e5a0a-285e23aa-dadca2bf-2b59a0d1.mp3]	[ɪn'sanətɪ]	n. 瘋狂；精神錯亂；精神病；愚頑	First stop is the roiling insanity of Chinatown - much of Bangkok's street food has Chinese roots.			
consulting 	[sound:youdao-199eda97-817f98d4-9a28ef73-c145d267-c5d38aba.mp3]	[kən'sʌltɪŋ]	adj. 咨詢的，商議的；顧問的，任專職顧問的 v. 咨詢，請教；商議（consult的現在分詞形式）	Mr. HOFFMAN: (As Jon Savage) A friend of mine does some consulting for the Guggenheim Foundation.			
exaggerated 	[sound:youdao-4374b540-5d00496d-fd9a07de-a4f4ad71-2ccaa742.mp3]	[ɪg'zadʒə'retɪd]	adj. 誇張的，言過其實的 v. 誇張，誇大（exaggerate的過去式）	This kind of exaggerated concentration is just not prudent for any major financial institution.			
cornerstone 	[sound:youdao-55425d1e-7c9887f8-78b196c0-12dd2609-e707ade3.mp3]	['kɔːnəstəʊn]	n. 基礎；柱石；地基	Such leadership had been the cornerstone of American economic superiority in the 1950 and 1960s.			
geometric 	[sound:youdao-eb1ebc57-247c50cb-e2e10dc3-af253d72-97b9a2f4.mp3]	[,dʒɪə'metrɪk]	adj. 幾何學的；[數] 幾何學圖形的	The geometric cracks are likely caused by the repeated freezing and thawing of buried ice.			
seductive 	[sound:youdao-e521f919-080c6aaf-9e77252c-f23fa17a-c6caa024.mp3]	[sɪ'dʌktɪv]	adj. 有魅力的；性感的；引人注意的	The shore is really only the icing on the seductive, if eccentric, home-baked cake that is Mendocino.			
luncheon 	[sound:youdao-07c6857e-cf4a7675-a6f0c08d-2027cd25-24b9089d.mp3]	['lʌn(t)ʃ(ə)n]	n. 午宴；正式的午餐會	Former presidential candidate Steve Forbes, who presented the closing luncheon address, is a greatly respected voice.			
called 	[sound:youdao-3890cd75-2c98f7f6-a437ee04-ef12d33f-67db1bb7.mp3]	[kɔ:ld]	adj. 被呼叫的 v. 打電話、稱呼（call的過去式）；[通信] 呼叫；訪問	They called their victims inferior, haunting echoes of the slave trade that thrived here for centuries.			
problem-solving 	[sound:youdao-ae954b3c-3ef92261-787b2e16-92f5f097-f1f61a67.mp3]		adj. 問題解決的 n. 解決問題；找出問題的答案	I ... am always ready to assist in problem-solving, intervention and prevention,  she wrote.			
wreath 	[sound:youdao-8606648c-6c3b0f29-245a7b6b-66ad469b-58dda6cc.mp3]	[riːθ]	n. 花冠；圈狀物 vt. 環繞（等於wreathe） vi. 盤旋（等於wreathe）	The prime minister laid a wreath at the Jallianwala Bagh memorial, bowing his head and standing in silence.			
harness 	[sound:youdao-1beb8d13-3a983fc0-cda9f5f6-68e4d555-23ce0ace.mp3]	['hɑːnɪs]	vt. 治理；套；駕馭；披上甲冑；利用 n. 馬具；甲冑；挽具狀帶子；降落傘背帶；日常工作	Given the cost of building ever larger sea walls, there is an attempt to harness Nature's own defences.			
proprietary 	[sound:youdao-6a8a1b12-883bfd37-151cd054-a4f33d37-348a156f.mp3]	[prə'praɪət(ə)rɪ]	n. 所有權；所有人 adj. 所有的；專利的；私人擁有的	Of course, individuals and companies are entitled to keep proprietary information and punish those who violate that trust.			
troublesome 	[sound:youdao-6f1ef2ea-6dc427aa-af5fe76e-46978e69-317aff95.mp3]	['trʌb(ə)ls(ə)m]	adj. 麻煩的；討厭的；使人苦惱的	Now, instead of remaining a troublesome expense item, they become an increasingly valuable asset.			
enclosure 	[sound:youdao-dd751e2e-7b22b081-68748056-23ab2f5d-b3ae7559.mp3]	[ɪn'kləʊʒə; en-]	n. 附件；圍牆；圍場	The organized collective work is reflected on the enclosure wall that protected the village.			
disposable 	[sound:youdao-71d4ba7a-afbe7779-e08769d5-06baadeb-86443b29.mp3]	[dɪ'spəʊzəb(ə)l]	adj. 可任意處理的；可自由使用的；用完即可丟棄的	Social gamers now represent a large and powerful segment of the population with significant disposable income.			
gloomy 	[sound:youdao-7ac4448c-2525b488-de351466-431b2366-2316a9c3.mp3]	['gluːmɪ]	adj. 黑暗的；沮喪的；陰鬱的	He sits there, as gloomy as if his business empire had just lost billions to swindlers.			
scribble 	[sound:youdao-a86593a9-88569ddc-59759d55-8d4ab47d-012368b4.mp3]	['skrɪb(ə)l]	n. 潦草寫成的東西；潦草的寫法；雜文 vt. 亂寫；濫寫；潦草地書寫 vi. 亂寫；亂塗	The mysterious scribble, dated 23 January 1898, was uncovered as the first panels were taken down.			
warhead 	[sound:youdao-467b6b7a-714b0b74-6897427d-169853cd-19b7e82b.mp3]	['wɔːhed]	n. 彈頭	It rebuffed efforts by Secretary of Defense Robert Gates to develop a next-generation nuclear warhead.			
sling 	[sound:youdao-b8063c9a-c6657036-70674977-cd059ca5-2968b06c.mp3]	[slɪŋ]	n. [機] 吊索；投石器；拋擲 vt. 用投石器投擲；吊起	With Preet Bharara now standing behind him, that kind of mud might be tougher to sling.			
kinda 	[sound:youdao-31636a9a-78e87b73-9c084f31-daeec238-11c3a3ef.mp3]	['kaɪndə]	adv. 有一點；有幾分 n. (Kinda)人名；(匈)金道；(捷)金達	In fact, many think those of us who still work for other people are kinda nuts.			
wooded 	[sound:youdao-01a1d42e-5f52c65e-2537a810-78bda3b8-05171fac.mp3]	['wʊdɪd]	adj. 樹木繁茂的；森林多的 v. 植林於（wood的過去式）	Explore trails of both wooded and open terrain as you take in the fragrant landscape.			
flop 	[sound:youdao-678527a8-14ab69d0-61df0a83-5b2953a4-8c70017c.mp3]	[flɒp]	vt. 笨拙地拋下；撲通放下；拍（翅） vi. 失敗；撲拍；撲通落下；笨重地摔 n. 失敗；砰然落下；拍擊聲 adv. 撲通一聲；恰巧	Casting the right spell can often mean the difference between a flier and a flop.			
typewriter 	[sound:youdao-b062861e-35b45f53-ad7f5a72-9360bd3b-79fb4526.mp3]	['taɪpraɪtə]	n. 打字機	Turns out he already had an identical typewriter sitting at the other end of the table.			
row 	[sound:youdao-1618deff-3973c3c3-9c9a3673-b1ccfad2-52768ca0.mp3]	[rəʊ]	n. 行，排；划船；街道；吵鬧 vt. 划船；使……成排 vi. 划船；爭吵 n. (Row)人名；(英)羅	Any serious handicapper would doubt the ability to place three winning bets in a row.			
amidst 	[sound:youdao-e7847b48-d58bed28-4e631328-70fa16c4-b8e639cf.mp3]	[ə'mɪdst]	prep. 在…當中	Amidst it all sits Holly Miranda's voice, which adds a mesmerizing quality to her dreamy songwriting.			
annoy 	[sound:youdao-3b6f859c-711b7b10-003e8a5a-7aa83c4b-ac3d95e9.mp3]	[ə'nɒɪ]	vt. 騷擾；惹惱；打攪 vi. 惹惱；令人討厭；打攪 n. 煩惱（等於annoyance）	Whether they annoy or delight you will depend on how much you use Facebook Messenger.			
epic 	[sound:youdao-6dee2016-05bc7f0c-2d591431-61d9e5f5-27be877c.mp3]	['epɪk]	adj. 史詩的，敘事詩的 n. 史詩；敘事詩；史詩般的作品	Like someone is whispering in your ear, but also to get the epic-ness at times.			
molest 	[sound:youdao-39014434-3c9bafea-c630012b-6360d767-0922acc7.mp3]	[mə'lest]	vt. 騷擾；調戲；干擾	The majority of men who molest boys are married, divorced, widowed or living with an adult partner.			
ambivalence 	[sound:youdao-c2db8e5a-374ee26f-b0a34af6-23a945a8-2cd41fae.mp3]	[am'bɪv(ə)l(ə)ns; am'bɪvəl(ə)ns; am'bɪvələns]	n. [心理] 矛盾情緒；正反感情並存	Jobs and Kaczynski represent the extreme poles of a deep-seated ambivalence in our attitudes toward technology.			
nighttime 	[sound:youdao-b05f2700-a8029062-5ae2ced4-abac49fd-61f31d77.mp3]	['naɪttaɪm]	n. 夜間 adj. 夜間的；夜裡發生的	But there is still definitely a day time H Street and a nighttime one.			
para 	[sound:youdao-8057f3fb-e8ca3f17-57db3c4e-2a0718c6-988c64bf.mp3]	['parə]	n. 帕拉（南斯拉夫幣）；帕拉膠 abbr. 傘兵(=paratrooper)；段(=paragraph)	El organismo internacional hizo un llamado a las partes envueltas en el conflicto para que eviten bajas civiles.			
flux 	[sound:youdao-fe81fa31-44ba4558-fb40c8e2-80655039-ef100e50.mp3]	[flʌks]	n. [流][機] 流量；變遷；不穩定；流出 vt. 使熔融；用焊劑處理 vi. 熔化；流出 n. (Flux)人名；(德)弗盧克斯；(英)弗勒克斯	Though the recording industry remains in flux, Slim says he still finds confidence to keep going.			
following 	[sound:youdao-7c7d602e-70063349-12570958-86cee2a2-d1de6a84.mp3]	['fɒləʊɪŋ]	adj. 下面的；其次的，接著的 n. 下列事物；一批追隨者 v. 跟隨；沿行（follow的ing形式）	But, along with the need for more pools, the sport needs greater following and publicity.			
query 	[sound:youdao-6dcde018-39030d52-24204100-61ac994a-54cce62f.mp3]	['kwɪərɪ]	n. 疑問，質問；疑問號 ；[計] 查詢 vt. 詢問；對……表示疑問 vi. 詢問；表示懷疑	For a given Quicken query we generally used the default choice, unless it seemed clearly wrong.			
torn 	[sound:youdao-1f21b5f8-0b02c4a1-6f6fc67b-aa9a02fc-9206807b.mp3]	[tɔːn]	v. 扯裂，撕開（tear的過去分詞） n. (Torn)人名；(英、俄、捷)托恩	They contend with the threats of environmental backlash and dicey political situations in war-torn hellholes.			
blizzard 	[sound:youdao-817cbf8d-492f26f5-60ba89b7-1d1e6b97-7726bad1.mp3]	['blɪzəd]	n. 暴風雪，大風雪；大打擊 vi. 下暴風雪 n. (Blizzard)人名；(英)布利澤德	As the blade slices, a blizzard of snow-white flakes floats onto an already headhigh mound.			
condemnation 	[sound:youdao-d7c221de-28b8b467-9ee41d8f-6f1d5403-a7882e9f.mp3]	[,kɒndəm'neɪʃn]	n. 譴責；定罪；非難的理由；徵用	Livingstone earned praise for his condemnation of the 2005 terrorist bombings on London's transport system.			
warm-up 	[sound:youdao-c6b173b0-1cdc2439-90071f02-58bbbb81-87562cd8.mp3]	['wɔ:mʌp]	n. 熱身賽；預熱；準備運動	With no warm-up act, the evening seemed to take a little while to get going.			
indicative 	[sound:youdao-a139056a-a54e6e2d-4f656df5-08c88a7a-5e26cfca.mp3]	[ɪn'dɪkətɪv]	adj. 象徵的；指示的；表示…的 n. 陳述語氣；陳述語氣的動詞形式	One incomplete older proposal I don't think is indicative of where we are now,  he said.			
umpire 	[sound:youdao-9586f734-fc2335ba-4b297983-bab7d3e5-6d617510.mp3]	['ʌmpaɪə]	vi. 當裁判，任裁判 vt. 仲裁，裁判 n. 裁判員，仲裁人	The umpire climbed off his chair to check the mark and confirmed the call.			
scare 	[sound:youdao-30781593-5df964d2-ed053edf-3cbae4cc-025367ef.mp3]	[skeə]	vt. 驚嚇；把…嚇跑 vi. 受驚 n. 恐慌；驚嚇；驚恐 adj. （美）駭人的	It's quick enough to scare yourself, sorted enough to prevent embarrassment, and yet so much more than that.			
managerial 	[sound:youdao-ba9497fb-02010f56-3b777fb6-86840c1e-f381289a.mp3]	[manə'dʒiːrɪəl]	adj. [管理] 管理的；經理的	"The Redfern inquiry report said ""managerial inadequacy"" had been a factor in the scandal."			
imprisonment 	[sound:youdao-85c6bca8-c7eebafc-77fed655-eda5886a-585324e2.mp3]	[ɪm'prɪz(ə)nm(ə)nt]	n. 監禁，關押；坐牢；下獄	Barbie was sentenced to life imprisonment for crimes against humanity in 1987, and died in prison in 1991.			
gothic 	[sound:youdao-f24218a1-8df626fa-c9783b55-e41bfd4f-77e9dc07.mp3]	['ɡɔθik]	adj. 哥特式的；野蠻的 n. 哥特式	Another icon of British Bombay, the Norman-Gothic exterior covers a magical selection of stalls.			
tidy 	[sound:youdao-4cd969e4-8da6fc63-2ad43118-32abaa2e-bed771dd.mp3]	['taɪdɪ]	adj. 整齊的；相當大的 vt. 整理；收拾；弄整齊 vi. 整理；收拾 n. 椅子的背罩 n. (Tidy)人名；(英)泰迪	Having saved a tidy 20 grand or so also adds to one's sense of well-being.			
hard-core 	[sound:youdao-4a457285-a01ff98d-295388c3-4d5d3e84-340f5a47.mp3]	['hɑ:dkɔ:]	adj. 中堅的；頑固不化的；赤裸裸描寫性行為的 n. 核心成員；鐵桿分子	One hard-core regular, Mike Levy, even wrote a farewell party at Ben Benson's into his will.			
revel 	[sound:youdao-a6a731ad-bd837b38-adb5fd51-934ac69e-df287c38.mp3]	['rev(ə)l]	vi. 狂歡；陶醉 n. 狂歡；鬧飲；喜慶狂歡活動 n. (Revel)人名；(意、羅、法)雷韋爾；(英)雷維爾	If part of being green means having outdoor spaces to revel in, then Copenhagen does that consummately.			
